ID,Name,Latitude,Longitude,Georeferencing_S_N,Still_Exists_,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,apportionmentConfidence,populationToPolygonSizeRating,areaType,bufferUnits,bufferUnit,bufferRadii,populationtotals_POPDENS_CY,populationtotals_TOTPOP_CY,Generations_GENBASE_CY,F5yearincrements_MEDAGE_CY,AgeDependency_SENIOR_CY_P,presenceofchildren_HU18HWF10_P,KeyUSFacts_MEDVAL_CY,KeyUSFacts_PCI_CY,raceandhispanicorigin_WHITE_CY_P,raceandhispanicorigin_BLACK_CY_P,raceandhispanicorigin_AMERIND_CY_P,raceandhispanicorigin_ASIAN_CY_P,raceandhispanicorigin_PACIFIC_CY_P,raceandhispanicorigin_OTHRACE_CY_P,raceandhispanicorigin_RACE2UP_CY_P,raceandhispanicorigin_DIVINDX_CY,raceandhispanicorigin_RACEBASECY,Policy_TOTHU_CY,disability_ACSHHDIS_P,households_ACSHHBPOV_P,householdincome_MEDHINC_CY
85,St. Mary of the assumption cemetery,40.630462799999997,-74.145108399999998,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,131,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,16710.799999999999272,5056.000000000000000,5056.000000000000000,37.500000000000000,12.600000000000000,59.020000000000003,701087.000000000000000,33348.000000000000000,24.430000000000000,23.690000000000001,3.400000000000000,10.900000000000000,0.160000000000000,25.890000000000001,11.529999999999999,89.400000000000006,5056.000000000000000,1734.000000000000000,22.170000000000002,14.289999999999999,81131.000000000000000
86,"Public Burial Ground, Flushing",40.754646100000002,-73.802379099999996,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,132,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,22111.400000000001455,6690.000000000000000,6690.000000000000000,41.100000000000001,17.379999999999999,44.289999999999999,915676.000000000000000,34580.000000000000000,17.969999999999999,1.460000000000000,0.430000000000000,56.850000000000001,0.000000000000000,15.710000000000001,7.580000000000000,76.099999999999994,6690.000000000000000,2359.000000000000000,20.960000000000001,11.170000000000000,76159.000000000000000
88,"Friend's Cemetery, Prospect Park",40.659975699999997,-73.972650500000000,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,133,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,6362.399999999999636,1925.000000000000000,1925.000000000000000,43.100000000000001,15.640000000000001,56.759999999999998,1908120.000000000000000,96665.000000000000000,78.489999999999995,2.030000000000000,0.210000000000000,6.700000000000000,0.000000000000000,3.950000000000000,8.619999999999999,47.100000000000001,1925.000000000000000,932.000000000000000,5.800000000000000,1.350000000000000,162141.000000000000000
96,Merchant Marine Cemetery,40.564322900000001,-74.147181200000006,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,134,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,10665.700000000000728,3227.000000000000000,3227.000000000000000,42.700000000000003,19.489999999999998,50.140000000000001,628210.000000000000000,44956.000000000000000,82.709999999999994,1.180000000000000,0.150000000000000,4.680000000000000,0.000000000000000,3.900000000000000,7.380000000000000,46.700000000000003,3227.000000000000000,1228.000000000000000,12.960000000000001,17.899999999999999,112011.000000000000000
101,Fredrick Douglass Memorial Park,40.563714099999999,-74.134992999999994,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,135,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,8200.100000000000364,2481.000000000000000,2481.000000000000000,44.700000000000003,22.329999999999998,46.689999999999998,647451.000000000000000,59974.000000000000000,80.849999999999994,0.730000000000000,0.120000000000000,8.670000000000000,0.000000000000000,3.550000000000000,6.130000000000000,46.700000000000003,2482.000000000000000,920.000000000000000,29.079999999999998,6.210000000000000,127888.000000000000000
102,"Friend's Cemetery, Flushing",40.762822300000003,-73.830171399999998,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,136,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,35199.699999999997090,10650.000000000000000,10650.000000000000000,45.500000000000000,23.410000000000000,36.420000000000002,689723.000000000000000,29220.000000000000000,7.770000000000000,6.580000000000000,0.400000000000000,72.120000000000005,0.030000000000000,8.010000000000000,5.090000000000000,59.399999999999999,10650.000000000000000,4931.000000000000000,29.000000000000000,26.070000000000000,41791.000000000000000
103,Holy Cross Cemetery,40.647023300000001,-73.938250199999999,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,137,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,19622.599999999998545,5937.000000000000000,5937.000000000000000,41.600000000000001,19.440000000000001,44.180000000000000,627242.000000000000000,33865.000000000000000,1.890000000000000,81.049999999999997,0.270000000000000,3.710000000000000,0.030000000000000,3.270000000000000,9.789999999999999,41.700000000000003,5937.000000000000000,2156.000000000000000,15.850000000000000,11.330000000000000,75031.000000000000000
108,Mount richmond Cemetery,40.568026799999998,-74.144041299999998,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,138,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,6600.399999999999636,1997.000000000000000,1997.000000000000000,44.100000000000001,20.530000000000001,49.329999999999998,715785.000000000000000,63840.000000000000000,84.129999999999995,0.700000000000000,0.250000000000000,5.110000000000000,0.000000000000000,3.610000000000000,6.260000000000000,43.299999999999997,1998.000000000000000,766.000000000000000,10.949999999999999,0.000000000000000,128249.000000000000000
109,Rantus Family Cemetery,40.734980999999998,-73.822335400000000,,No,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,139,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,11191.200000000000728,3386.000000000000000,3386.000000000000000,35.899999999999999,18.840000000000000,44.049999999999997,795802.000000000000000,44223.000000000000000,44.509999999999998,5.320000000000000,0.830000000000000,36.560000000000002,0.060000000000000,6.410000000000000,6.290000000000000,72.599999999999994,3385.000000000000000,1301.000000000000000,13.590000000000000,11.650000000000000,75826.000000000000000
110,Machpelah Cemetery,40.693798800000003,-73.886391200000006,,Yes,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,1,140,US,2.576000000000000,2.191000000000000,RingBuffer,esriMeters,Meters,500.000000000000000,4795.800000000000182,1451.000000000000000,1451.000000000000000,41.600000000000001,15.020000000000000,48.880000000000003,826480.000000000000000,48131.000000000000000,45.000000000000000,2.550000000000000,0.900000000000000,5.170000000000000,0.070000000000000,30.050000000000001,16.260000000000002,83.799999999999997,1451.000000000000000,536.000000000000000,15.650000000000000,0.000000000000000,105831.000000000000000
