ID,Name,Latitude,Longitude,Georef. S/N,Still Exists,Lifespan,Year Built,Year Destroyed,HasData,Population Density,Total Population,Median Age,% Seniors,% w/ Children,Median Home Value,Per Capita Income,% White,% Black,% Amerindian,% Asian,% Pacific Islander,% Other Race,% 2+ Races,Diversity Index,Total Housing Units,% w/ Disability,% Below Poverty,Median Household Income
116,Linden Hill Cemetery,40.7113964,-73.9135659,,Yes,149,1875,2024,1,26755.1,8095,36.8,11.71,55.43,946285,37820,40.06,3.31,1.63,9.78,0.06,31.92,13.23,85.5,3305,17.74,15.59,77194
123,Maimonides Cemetery & Mount Hope Cemetery,40.6919916,-73.8707621,,Yes,132,1892,2024,1,22177.5,6710,36.8,12.22,58.78,771396,32410,8.97,10.43,1.64,13.04,0.15,49.75,16.01,82.4,2162,20.91,13.72,85294
125,Montefiore Cemetery,40.6857352,-73.7420406,,Yes,116,1908,2024,1,8044.7,2434,46.8,22.76,46.42,599880,48974,1.48,87.47,0.29,0.74,0.04,3.2,6.78,33.1,832,29.53,4.17,128281
127,Cypress Hill Cemetery,40.6996834,-73.8832982,,Yes,176,1848,2024,1,20650.5,6248,39.5,14.9,49.56,792969,40709,55.33,2.66,1.01,4.11,0.03,24.97,11.89,80.3,2530,19.97,7.9,86342
129,Ferris Family Burial Ground,40.8388529,-73.842227,,Yes,,,1914,1,20237.4,6123,34.8,11.6,64.89,656863,23668,10.94,11.79,2.01,33.89,0.2,30.43,10.73,87.7,2062,34.92,32.31,43739
131,Calvary Cemetery (West),40.7335524,-73.9305068,,Yes,176,1848,2024,1,3784.4,1145,32.5,8.03,57.53,866667,41000,23.32,32.23,2.36,11.79,0.52,19.39,10.31,88.4,201,13.64,10.61,60150
132,Calvary Cemetery (East),40.735158,-73.9136752,,Yes,179,1845,2024,1,5344.4,1617,38.1,11.38,61.18,841837,34628,17.32,1.79,1.73,25.29,0.25,40.63,12.99,85.6,590,11.37,5.05,61250
133,Cypress Hill National Cemetery,40.6870801,-73.8815946,,Yes,162,1862,2024,1,14701.3,4448,37.3,12.16,62.43,729814,32755,9.42,16.48,1.87,3.89,0.16,50.94,17.24,79.9,1503,19.07,11.87,81209
134,Pelham Cemetery,40.8494459,-73.7843497,,Yes,,,2024,1,5724.5,1732,51.7,29.73,38.41,705317,77857,64.55,5.02,0.64,5.83,0.06,11.43,12.47,72.7,909,37.64,6.52,122010
135,Mount Zion Cemetery,40.7306635,-73.9064302,,Yes,,,2024,1,5456.8,1651,42.9,17.44,48.23,848814,50845,61.48,1.45,0.97,13.33,0,13.2,9.57,73.7,685,15.04,4.27,98981
